effect,term,estimate,std.error,statistic,domain
fixed,(Intercept),1.73568805467767,0.0541321207476714,32.0639212117389,Eating Food
fixed,harm,0.384138681924425,0.0117313729035267,32.7445632393925,Eating Food
fixed,Gender2,0.0686562853451189,0.00384686609676894,17.8473291292319,Eating Food
fixed,AgeGroups52,0.100286833021899,0.00600681069307699,16.6955208256324,Eating Food
fixed,AgeGroups53,0.146465586887936,0.00575198197013061,25.4634989554062,Eating Food
fixed,AgeGroups54,0.156579267552539,0.00625422699283236,25.0357506582326,Eating Food
fixed,AgeGroups55,0.0778334040734285,0.00705788435220628,11.0278661691443,Eating Food
fixed,Education2,0.0120762418405347,0.0049718470766877,2.42892463389683,Eating Food
fixed,Education3,0.00731691633614063,0.00674725038456787,1.08442934812019,Eating Food
fixed,Urbanicity2,0.00883191663302758,0.0056711541268224,1.55734025835341,Eating Food
fixed,Urbanicity3,0.00964089528474571,0.00593655972581223,1.62398690993152,Eating Food
fixed,Urbanicity6,0.00833896376044229,0.00741821088747358,1.12412061168597,Eating Food
fixed,CountryIncomeLevel20252,-0.10666106496758,0.0627192664262627,-1.70061084966576,Eating Food
fixed,CountryIncomeLevel20253,-0.111719033818122,0.0630240983566856,-1.77263993823199,Eating Food
fixed,CountryIncomeLevel20254,-0.344981443597355,0.060613088907485,-5.69153378940821,Eating Food
fixed,(Intercept),1.62560582187233,0.0513020775612203,31.6869393823758,Drinking Water
fixed,harm,0.562112711768586,0.0144065235147489,39.0179290092515,Drinking Water
fixed,Gender2,0.051101290055235,0.00382673934408928,13.3537420399864,Drinking Water
fixed,AgeGroups52,0.0678674815579308,0.00597840668296981,11.3521018486848,Drinking Water
fixed,AgeGroups53,0.0816617029053083,0.00572364807095323,14.2674220869258,Drinking Water
fixed,AgeGroups54,0.0787412640909105,0.00622254532580704,12.6541889159639,Drinking Water
fixed,AgeGroups55,0.0140639291695295,0.00701290263849594,2.00543625008115,Drinking Water
fixed,Education2,0.0289395114417351,0.00494832491578742,5.84834503276146,Drinking Water
fixed,Education3,0.0424126276907943,0.00671244201238279,6.3185093610572,Drinking Water
fixed,Urbanicity2,0.0149348693726794,0.00564126170791258,2.64743423474422,Drinking Water
fixed,Urbanicity3,0.0143626295309821,0.00590478989156196,2.43236927896563,Drinking Water
fixed,Urbanicity6,0.0333032528234942,0.0073735398203758,4.5165895397303,Drinking Water
fixed,CountryIncomeLevel20252,-0.0734786704101208,0.0596805317291252,-1.23119999573097,Drinking Water
fixed,CountryIncomeLevel20253,-0.0651068072060678,0.0599617699725501,-1.08580529287032,Drinking Water
fixed,CountryIncomeLevel20254,-0.330680282256206,0.0576955480496462,-5.73146964427239,Drinking Water
fixed,(Intercept),1.91814122934609,0.0596976032857515,32.130958761688,Violent Crime
fixed,harm,0.413740768131771,0.0125936421730262,32.8531462500933,Violent Crime
fixed,Gender2,0.129355539017761,0.00407788635215672,31.7212221839745,Violent Crime
fixed,AgeGroups52,0.0237128573923387,0.00636575727789089,3.7250646477987,Violent Crime
fixed,AgeGroups53,0.0448935578811273,0.00609589682748738,7.36455342857756,Violent Crime
fixed,AgeGroups54,0.0717424590325137,0.00663546827863575,10.8119662426092,Violent Crime
fixed,AgeGroups55,0.0607604957659959,0.00750133485611948,8.09995779836816,Violent Crime
fixed,Education2,0.0648884103479893,0.00527740140877032,12.2955229898097,Violent Crime
fixed,Education3,0.0275419911114031,0.00714968667873989,3.85219553652626,Violent Crime
fixed,Urbanicity2,0.026774509770889,0.00601618465822998,4.45041355807823,Violent Crime
fixed,Urbanicity3,0.0728426855399586,0.00629511942896441,11.5712952489516,Violent Crime
fixed,Urbanicity6,0.0827733771361367,0.00784711637977822,10.5482540502956,Violent Crime
fixed,CountryIncomeLevel20252,-0.028881342112381,0.067709563179152,-0.426547458827406,Violent Crime
fixed,CountryIncomeLevel20253,-0.0397463287760001,0.068217830573169,-0.582638416408874,Violent Crime
fixed,CountryIncomeLevel20254,-0.335673599477336,0.0655535076831385,-5.12060469898663,Violent Crime
fixed,(Intercept),2.15210635097293,0.0578108917265449,37.2266589685685,Traffic/Roadside Accident
fixed,harm,0.306376432814194,0.0113768597257488,26.9297890806181,Traffic/Roadside Accident
fixed,Gender2,0.0984342790274448,0.00386155846839628,25.4908166827071,Traffic/Roadside Accident
fixed,AgeGroups52,0.0301354020181193,0.00602492295114479,5.00179043989157,Traffic/Roadside Accident
fixed,AgeGroups53,0.0294582749234183,0.00577600692290541,5.10011073681338,Traffic/Roadside Accident
fixed,AgeGroups54,0.0396047654039616,0.00628219244728213,6.30429037892588,Traffic/Roadside Accident
fixed,AgeGroups55,-0.0129220042061435,0.00711643746238999,-1.81579677674899,Traffic/Roadside Accident
fixed,Education2,0.0497473247138807,0.00499699669336567,9.95544479345532,Traffic/Roadside Accident
fixed,Education3,0.0451775148024204,0.00677770172424985,6.6656097657382,Traffic/Roadside Accident
fixed,Urbanicity2,0.0187635456432189,0.00569147860064622,3.29677873884802,Traffic/Roadside Accident
fixed,Urbanicity3,0.0302500600612609,0.0059591024019348,5.07627793934861,Traffic/Roadside Accident
fixed,Urbanicity6,0.0285244658352751,0.00743668635768944,3.83564190599233,Traffic/Roadside Accident
fixed,CountryIncomeLevel20252,-0.0406175663694987,0.0660879209773228,-0.614598942875448,Traffic/Roadside Accident
fixed,CountryIncomeLevel20253,-0.128631993143336,0.0664195783998048,-1.93665777835943,Traffic/Roadside Accident
fixed,CountryIncomeLevel20254,-0.449623763186964,0.0638209663972693,-7.04507920466403,Traffic/Roadside Accident
fixed,(Intercept),1.83013058923735,0.043017892611299,42.5434738464303,Work
fixed,harm,0.392954316314708,0.0138681422141239,28.3350365353557,Work
fixed,Gender2,-0.0641974640731431,0.00507826293597577,-12.6416187744733,Work
fixed,AgeGroups52,0.0828212382614765,0.00788552033855825,10.5029515752437,Work
fixed,AgeGroups53,0.0856313188117526,0.00759445867434144,11.275500003847,Work
fixed,AgeGroups54,0.058405785088314,0.00838088295756853,6.96892981133562,Work
fixed,AgeGroups55,-0.0638425011351755,0.0130890348101276,-4.87755606591995,Work
fixed,Education2,-0.0610709064676908,0.0068494631491627,-8.91615957889434,Work
fixed,Education3,-0.131982983691502,0.00853472107739768,-15.4642410097067,Work
